model,id,product_id,category_id
inventory.product_category,1,1,4
inventory.product_category,2,2,5
inventory.product_category,3,3,5
inventory.product_category,4,4,5
inventory.product_category,5,5,5
inventory.product_category,6,6,6
inventory.product_category,7,7,7
inventory.product_category,8,8,8
inventory.product_category,9,9,8
inventory.product_category,10,10,7
inventory.product_category,11,11,5
inventory.product_category,12,12,8
inventory.product_category,13,13,7
inventory.product_category,14,14,5
inventory.product_category,15,15,4
inventory.product_category,16,16,4
inventory.product_category,17,17,5
inventory.product_category,18,18,5
inventory.product_category,19,19,5
inventory.product_category,20,20,5
inventory.product_category,21,21,5
inventory.product_category,22,22,5
inventory.product_category,23,23,5
inventory.product_category,24,24,5
inventory.product_category,25,25,5
inventory.product_category,26,26,9
inventory.product_category,27,27,5
inventory.product_category,28,28,8
inventory.product_category,29,29,5
inventory.product_category,30,30,8
inventory.product_category,31,31,10
inventory.product_category,32,32,5
inventory.product_category,33,33,9
inventory.product_category,34,34,5
inventory.product_category,35,35,6
inventory.product_category,36,36,11
inventory.product_category,37,37,8
inventory.product_category,38,38,10
inventory.product_category,39,39,12
inventory.product_category,40,40,11
inventory.product_category,41,41,13
inventory.product_category,42,42,6
inventory.product_category,43,43,6
inventory.product_category,44,44,9
inventory.product_category,45,45,8
inventory.product_category,46,46,13
inventory.product_category,47,47,8
inventory.product_category,48,48,8
inventory.product_category,49,49,14
inventory.product_category,50,50,8
inventory.product_category,51,51,14
inventory.product_category,52,52,13
inventory.product_category,53,53,8
inventory.product_category,54,54,9
inventory.product_category,55,55,4
inventory.product_category,56,56,15
inventory.product_category,57,57,15
inventory.product_category,58,58,15
inventory.product_category,59,59,15
inventory.product_category,60,60,5
inventory.product_category,61,61,16
inventory.product_category,62,62,16
inventory.product_category,63,63,16
inventory.product_category,64,64,16
inventory.product_category,65,65,16
inventory.product_category,66,66,5
inventory.product_category,67,67,16
inventory.product_category,68,68,16
inventory.product_category,69,69,5
inventory.product_category,70,70,5
inventory.product_category,71,71,16
inventory.product_category,72,72,16
inventory.product_category,73,73,5
inventory.product_category,74,74,16
inventory.product_category,75,75,16
inventory.product_category,76,76,5
inventory.product_category,77,77,5
inventory.product_category,78,78,5
